	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
CP101161.1_CP101161.1_1887	CP101161.1	CP101161.1	1887	1860591	1860863	-1	C	K02921	large subunit ribosomal protein L37Ae								Ribosomal L37ae protein family [PF01780.22]					0
CP101161.1_CP101161.1_1888	CP101161.1	CP101161.1	1888	1860899	1861087	-1	E															0
CP101161.1_CP101161.1_1889	CP101161.1	CP101161.1	1889	1861123	1861848	-1	D										Predicted metal-binding protein (DUF2103) [PF09876.12]					1
CP101161.1_CP101161.1_1890	CP101161.1	CP101161.1	1890	1861889	1862626	-1	D										Methyltransferase domain [PF13489.9]; Tellurite resistance protein TehB [PF03848.17]; Methyltransferase domain [PF08241.15]; Methionine biosynthesis protein MetW [PF07021.15]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF13649.9]; Thiopurine S-methyltransferase (TPMT) [PF05724.14]; Mycolic acid cyclopropane synthetase [PF02353.23]; Methyltransferase small domain [PF05175.17]; ubiE/COQ5 methyltransferase family [PF01209.21]; Nodulation protein S (NodS) [PF05401.14]; Methyltransferase domain [PF08242.15]					0
CP101161.1_CP101161.1_1891	CP101161.1	CP101161.1	1891	1862683	1864020	-1	C	K06176	tRNA pseudouridine13 synthase [EC:5.4.99.27]								tRNA pseudouridine synthase D (TruD) [PF01142.21]					0
CP101161.1_CP101161.1_1892	CP101161.1	CP101161.1	1892	1864057	1864986	-1	E															0
CP101161.1_CP101161.1_1893	CP101161.1	CP101161.1	1893	1865068	1866177	1	D										NADH:flavin oxidoreductase / NADH oxidase family [PF00724.23]					0
CP101161.1_CP101161.1_1894	CP101161.1	CP101161.1	1894	1866217	1866414	1	E															0
CP101161.1_CP101161.1_1895	CP101161.1	CP101161.1	1895	1866415	1866753	-1	C	K04794	peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]								Peptidyl-tRNA hydrolase PTH2 [PF01981.19]					0
CP101161.1_CP101161.1_1896	CP101161.1	CP101161.1	1896	1866824	1867579	1	E															0
CP101161.1_CP101161.1_1897	CP101161.1	CP101161.1	1897	1867618	1868205	1	C	K01494	dCTP deaminase [EC:3.5.4.13]								2'-deoxycytidine 5'-triphosphate deaminase (DCD) [PF06559.14]; dUTPase [PF00692.22]					0
CP101161.1_CP101161.1_1898	CP101161.1	CP101161.1	1898	1868277	1869176	1	C	K22206	XRE family transcriptional regulator, thiamine biosynthesis regulator								Thiamine-phosphate synthase [PF10120.12]					0
CP101161.1_CP101161.1_1899	CP101161.1	CP101161.1	1899	1869173	1869844	1	D										ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13489.9]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF08242.15]; Mycolic acid cyclopropane synthetase [PF02353.23]					0
CP101161.1_CP101161.1_1900	CP101161.1	CP101161.1	1900	1869994	1870326	1	D										Helix-turn-helix domain [PF12840.10]; HTH domain [PF08279.15]; Sugar-specific transcriptional regulator TrmB [PF01978.22]					0
CP101161.1_CP101161.1_1901	CP101161.1	CP101161.1	1901	1870403	1870672	1	E															0
CP101161.1_CP101161.1_1902	CP101161.1	CP101161.1	1902	1870680	1871198	-1	D										RDD family [PF06271.15]					0
CP101161.1_CP101161.1_1903	CP101161.1	CP101161.1	1903	1871237	1872154	-1	C	K22699	sulfide-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.59]								FAD dependent oxidoreductase [PF12831.10]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.17]; FAD binding domain [PF00890.27]; HI0933-like protein [PF03486.17]; FAD dependent oxidoreductase [PF01266.27]; FAD binding domain [PF01494.22]; NAD(P)-binding Rossmann-like domain [PF13450.9]; Flavin-binding monooxygenase-like [PF00743.22]; Lycopene cyclase protein [PF05834.15]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.30]					0
CP101161.1_CP101161.1_1904	CP101161.1	CP101161.1	1904	1872228	1873364	1	D										Aminotransferase class I and II [PF00155.24]; Cys/Met metabolism PLP-dependent enzyme [PF01053.23]					0
CP101161.1_CP101161.1_1905	CP101161.1	CP101161.1	1905	1873413	1873688	-1	D										Protein of unknown function (DUF2892) [PF11127.11]					0
CP101161.1_CP101161.1_1906	CP101161.1	CP101161.1	1906	1873747	1874496	-1	C	K09722	4-phosphopantoate---beta-alanine ligase [EC:6.3.2.36]								Phosphopantothenate/pantothenate synthetase [PF02006.19]					0
CP101161.1_CP101161.1_1907	CP101161.1	CP101161.1	1907	1874535	1875701	-1	C	K02034	peptide/nickel transport system permease protein													0
CP101161.1_CP101161.1_1908	CP101161.1	CP101161.1	1908	1875836	1876822	1	D										Binding-prot-dependent transport system membrane comp, N-term [PF19300.2]					0
CP101161.1_CP101161.1_1909	CP101161.1	CP101161.1	1909	1876819	1877640	-1	C	K06982	pantoate kinase [EC:2.7.1.169]								GHMP kinases N terminal domain [PF00288.29]					0
CP101161.1_CP101161.1_1910	CP101161.1	CP101161.1	1910	1877728	1878369	1	D										Tetracyclin repressor-like, C-terminal domain [PF17932.4]					0
CP101161.1_CP101161.1_1911	CP101161.1	CP101161.1	1911	1878347	1878688	-1	C	K08982	putative membrane protein													0
CP101161.1_CP101161.1_1912	CP101161.1	CP101161.1	1912	1878685	1879182	-1	D										Domain of unknown function (DUF4188) [PF13826.9]					0
CP101161.1_CP101161.1_1913	CP101161.1	CP101161.1	1913	1879222	1879638	-1	E															0
CP101161.1_CP101161.1_1914	CP101161.1	CP101161.1	1914	1879712	1880578	1	C	K21990	formate-nitrite transporter family protein								Formate/nitrite transporter [PF01226.20]					0
CP101161.1_CP101161.1_1915	CP101161.1	CP101161.1	1915	1880588	1881892	-1	C	K09759	nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]								tRNA synthetases class II (D, K and N) [PF00152.23]; OB-fold nucleic acid binding domain [PF01336.28]					0
CP101161.1_CP101161.1_1916	CP101161.1	CP101161.1	1916	1881928	1882590	-1	D										GAF and HTH_10 associated domain [PF15915.8]; HTH DNA binding domain [PF04967.15]					0
CP101161.1_CP101161.1_1917	CP101161.1	CP101161.1	1917	1882799	1883572	-1	C	K17104	phosphoglycerol geranylgeranyltransferase [EC:2.5.1.41]								PcrB family [PF01884.20]					0
CP101161.1_CP101161.1_1918	CP101161.1	CP101161.1	1918	1883818	1884702	1	C	K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]								Amino-transferase class IV [PF01063.22]					0
CP101161.1_CP101161.1_1919	CP101161.1	CP101161.1	1919	1884728	1885159	1	D										Rieske [2Fe-2S] domain [PF00355.29]					0
CP101161.1_CP101161.1_1920	CP101161.1	CP101161.1	1920	1885156	1885569	1	D										Dual specificity phosphatase, catalytic domain [PF00782.23]					0
CP101161.1_CP101161.1_1921	CP101161.1	CP101161.1	1921	1885585	1885875	-1	C	K07743	transcriptional regulator													0
CP101161.1_CP101161.1_1922	CP101161.1	CP101161.1	1922	1886054	1886338	1	D										Family of unknown function (DUF5789) [PF19102.3]					0
CP101161.1_CP101161.1_1923	CP101161.1	CP101161.1	1923	1886341	1887012	1	D			MER0182480	M79	MER0182480 - family M79 unassigned peptidases (Thermococcus sibiricus) [M79.UPW]#M79#{peptidase unit: 75-183}~source ACS89240~	False	0.333	61.0	5.669e-09						0
CP101161.1_CP101161.1_1924	CP101161.1	CP101161.1	1924	1887077	1887526	1	D										Domain of unknown function DUF302 [PF03625.17]					0
CP101161.1_CP101161.1_1925	CP101161.1	CP101161.1	1925	1887530	1887748	-1	E															0
CP101161.1_CP101161.1_1926	CP101161.1	CP101161.1	1926	1887774	1888016	-1	E															0
CP101161.1_CP101161.1_1927	CP101161.1	CP101161.1	1927	1888040	1889317	-1	C	K22585	DNA repair protein NreA								Archaeal Nre, N-terminal [PF04894.15]; Archaeal Nre, C-terminal [PF04895.15]					0
CP101161.1_CP101161.1_1928	CP101161.1	CP101161.1	1928	1889372	1890337	-1	C	K03124	transcription initiation factor TFIIB								Transcription factor TFIIB repeat [PF00382.22]; TFIIB zinc-binding [PF08271.15]					0
CP101161.1_CP101161.1_1929	CP101161.1	CP101161.1	1929	1890466	1891101	1	D										Reverse transcriptase-like [PF13456.9]; RNase H [PF00075.27]					0
CP101161.1_CP101161.1_1930	CP101161.1	CP101161.1	1930	1891088	1891642	1	E															0
CP101161.1_CP101161.1_1931	CP101161.1	CP101161.1	1931	1891706	1892065	-1	D										Transcriptional regulator PadR-like family [PF03551.17]					0
CP101161.1_CP101161.1_1932	CP101161.1	CP101161.1	1932	1892261	1892794	1	C	K01507	inorganic pyrophosphatase [EC:3.6.1.1]								Inorganic pyrophosphatase [PF00719.22]					0
CP101161.1_CP101161.1_1933	CP101161.1	CP101161.1	1933	1893266	1895761	1	C	K03168	DNA topoisomerase I [EC:5.6.2.1]								DNA topoisomerase [PF01131.23]; Toprim domain [PF01751.25]; Topoisomerase DNA binding C4 zinc finger [PF01396.22]; Helix-hairpin-helix domain [PF14520.9]					0
CP101161.1_CP101161.1_1934	CP101161.1	CP101161.1	1934	1895758	1896372	-1	C	K01658	anthranilate synthase component II [EC:4.1.3.27]	MER0438732	C26	MER0438732 - TRP3 protein (Halobacterium sp. DL1) [C26.959]#C26#{peptidase unit: 4-195}~source ZP_09029910~	False	0.667	260.0	7.1610000000000005e-78	Glutamine amidotransferase class-I [PF00117.31]; Peptidase C26 [PF07722.16]					0
CP101161.1_CP101161.1_1935	CP101161.1	CP101161.1	1935	1896782	1898242	-1	C	K01657	anthranilate synthase component I [EC:4.1.3.27]	MER0041616	C26	MER0041616 - aminodeoxychorismate synthase, subunit II (Thermus thermophilus) [C26.955]#C26#{peptidase unit: 338-632}~source YP_004230-1~	False	0.46	76.0	1.117e-12	chorismate binding enzyme [PF00425.21]; Anthranilate synthase component I, N terminal region [PF04715.16]					0
CP101161.1_CP101161.1_1936	CP101161.1	CP101161.1	1936	1898287	1899063	-1	D										Helix-hairpin-helix domain [PF14520.9]; Domain of unknown function (DUF4332) [PF14229.9]					0
CP101161.1_CP101161.1_1937	CP101161.1	CP101161.1	1937	1899125	1899925	-1	C	K00014	shikimate dehydrogenase [EC:1.1.1.25]								Shikimate dehydrogenase substrate binding domain [PF08501.14]; Shikimate / quinate 5-dehydrogenase [PF01488.23]; Shikimate 5'-dehydrogenase C-terminal domain [PF18317.4]					0
CP101161.1_CP101161.1_1938	CP101161.1	CP101161.1	1938	1900058	1901458	1	C	K07301	cation:H+ antiporter													0
CP101161.1_CP101161.1_1939	CP101161.1	CP101161.1	1939	1901529	1902425	1	C	K07059	uncharacterized protein	MER0272863	S54	MER0272863 - family S54 unassigned peptidases () [S54.UPW]#S54#{peptidase unit: 78-293}~source YP_004809625~	False	0.573	238.0	2.1859999999999997e-68	Rhomboid family [PF01694.25]; AN1-like Zinc finger [PF01428.19]					0
CP101161.1_CP101161.1_1940	CP101161.1	CP101161.1	1940	1902425	1903180	1	C	K05982	deoxyribonuclease V [EC:3.1.21.7]								Endonuclease V [PF04493.17]					0
CP101161.1_CP101161.1_1941	CP101161.1	CP101161.1	1941	1903205	1904026	1	C	K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]								short chain dehydrogenase [PF00106.28]; Enoyl-(Acyl carrier protein) reductase [PF13561.9]; KR domain [PF08659.13]; NAD dependent epimerase/dehydratase family [PF01370.24]; RmlD substrate binding domain [PF04321.20]; Fungal family of unknown function (DUF1776) [PF08643.13]					0
CP101161.1_CP101161.1_1942	CP101161.1	CP101161.1	1942	1904026	1905336	1	C	K11529	glycerate 2-kinase [EC:2.7.1.165]								Domain of unknown function (DUF4147) [PF13660.9]; MOFRL family [PF05161.16]					0
CP101161.1_CP101161.1_1943	CP101161.1	CP101161.1	1943	1905333	1906364	-1	C	K01551	arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]								Anion-transporting ATPase [PF02374.18]; Cellulose biosynthesis protein BcsQ [PF06564.15]; AAA domain [PF13614.9]					0
CP101161.1_CP101161.1_1944	CP101161.1	CP101161.1	1944	1906390	1906638	-1	E															0
CP101161.1_CP101161.1_1945	CP101161.1	CP101161.1	1945	1906712	1907182	1	E															0
CP101161.1_CP101161.1_1946	CP101161.1	CP101161.1	1946	1907192	1907881	-1	C	K23265	phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]	MER0068616	C26	MER0068616 - family C26 unassigned peptidases (Methanosarcina barkeri) [C26.UPW]#C26#{peptidase unit: 26-216}~source YP_306238~	False	0.588	209.0	1.242e-59	CobB/CobQ-like glutamine amidotransferase domain [PF13507.9]; Glutamine amidotransferase class-I [PF00117.31]; CobB/CobQ-like glutamine amidotransferase domain [PF07685.17]					0
CP101161.1_CP101161.1_1947	CP101161.1	CP101161.1	1947	1907934	1908185	-1	C	K23264	phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3]								Phosphoribosylformylglycinamidine (FGAM) synthase [PF02700.17]					0
CP101161.1_CP101161.1_1948	CP101161.1	CP101161.1	1948	1908660	1909763	-1	D										Strictosidine synthase [PF03088.19]; SMP-30/Gluconolactonase/LRE-like region [PF08450.15]; Strictosidine synthase-like, N-terminal [PF20067.2]					0
CP101161.1_CP101161.1_1949	CP101161.1	CP101161.1	1949	1909851	1910813	1	C	K01433	formyltetrahydrofolate deformylase [EC:3.5.1.10]								Formyl transferase [PF00551.22]; ACT domain [PF13740.9]					0
CP101161.1_CP101161.1_1950	CP101161.1	CP101161.1	1950	1910852	1911970	-1	C	K01923	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]								SAICAR synthetase [PF01259.21]					0
CP101161.1_CP101161.1_1951	CP101161.1	CP101161.1	1951	1912001	1913380	1	C	K11781	5-amino-6-(D-ribitylamino)uracil---L-tyrosine 4-hydroxyphenyl transferase [EC:2.5.1.147]								CofH/MqnC C-terminal region [PF19288.2]					0
CP101161.1_CP101161.1_1952	CP101161.1	CP101161.1	1952	1913491	1914576	-1	C	K11780	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase [EC:4.3.1.32]													0
CP101161.1_CP101161.1_1953	CP101161.1	CP101161.1	1953	1914800	1915414	-1	C	K14941	2-phospho-L-lactate/phosphoenolpyruvate guanylyltransferase [EC:2.7.7.68 2.7.7.105]								Guanylyl transferase CofC like [PF01983.19]					0
CP101161.1_CP101161.1_1954	CP101161.1	CP101161.1	1954	1915415	1916182	-1	E															0
CP101161.1_CP101161.1_1955	CP101161.1	CP101161.1	1955	1916160	1917338	-1	C	K22222	tubulin-like protein CetZ								Tubulin/FtsZ family, GTPase domain [PF00091.28]					0
CP101161.1_CP101161.1_1956	CP101161.1	CP101161.1	1956	1917437	1918516	-1	D										NAD dependent epimerase/dehydratase family [PF01370.24]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; NAD(P)H-binding [PF13460.9]; NmrA-like family [PF05368.16]; RmlD substrate binding domain [PF04321.20]; GDP-mannose 4,6 dehydratase [PF16363.8]; Polysaccharide biosynthesis protein [PF02719.18]; Male sterility protein [PF07993.15]; short chain dehydrogenase [PF00106.28]					0
CP101161.1_CP101161.1_1957	CP101161.1	CP101161.1	1957	1918606	1919190	1	C	K00943	dTMP kinase [EC:2.7.4.9]								Thymidylate kinase [PF02223.20]; Deoxynucleoside kinase [PF01712.22]					0
CP101161.1_CP101161.1_1958	CP101161.1	CP101161.1	1958	1919275	1920054	1	D										Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF13847.9]; ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF13489.9]					0
CP101161.1_CP101161.1_1959	CP101161.1	CP101161.1	1959	1920045	1920371	-1	E															0
CP101161.1_CP101161.1_1960	CP101161.1	CP101161.1	1960	1920491	1922104	1	C	K06888	uncharacterized protein								Protein of unknown function, DUF255 [PF03190.18]; Thioredoxin-like [PF13899.9]					0
CP101161.1_CP101161.1_1961	CP101161.1	CP101161.1	1961	1922164	1922970	1	C	K23356	HTH-type transcriptional regulator, sugar sensing transcriptional regulator								Sugar-specific transcriptional regulator TrmB [PF01978.22]					0
CP101161.1_CP101161.1_1962	CP101161.1	CP101161.1	1962	1922967	1923893	-1	C	K17488	GTP cyclohydrolase IV [EC:3.5.4.39]								Type I GTP cyclohydrolase folE2 [PF02649.17]					0
CP101161.1_CP101161.1_1963	CP101161.1	CP101161.1	1963	1923947	1924807	-1	C	K00858	NAD+ kinase [EC:2.7.1.23]								ATP-NAD kinase C-terminal domain [PF20143.2]; ATP-NAD kinase N-terminal domain [PF01513.24]					0
CP101161.1_CP101161.1_1964	CP101161.1	CP101161.1	1964	1924865	1925707	1	C	K08482	circadian clock protein KaiC								KaiC [PF06745.16]; DnaB-like helicase C terminal domain [PF03796.18]; Rad51 [PF08423.14]					0
CP101161.1_CP101161.1_1965	CP101161.1	CP101161.1	1965	1925744	1926973	-1	D										Major Facilitator Superfamily [PF07690.19]; Transmembrane secretion effector [PF05977.16]					0
CP101161.1_CP101161.1_1966	CP101161.1	CP101161.1	1966	1927147	1927470	-1	E															0
CP101161.1_CP101161.1_1967	CP101161.1	CP101161.1	1967	1927631	1928350	-1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]					0
CP101161.1_CP101161.1_1968	CP101161.1	CP101161.1	1968	1928416	1928820	-1	E															0
CP101161.1_CP101161.1_1969	CP101161.1	CP101161.1	1969	1928924	1929622	-1	C	K04484	DNA repair protein RadB								Rad51 [PF08423.14]; recA bacterial DNA recombination protein [PF00154.24]; KaiC [PF06745.16]; AAA domain [PF13481.9]					0
CP101161.1_CP101161.1_1970	CP101161.1	CP101161.1	1970	1929700	1930443	1	E															0
CP101161.1_CP101161.1_1971	CP101161.1	CP101161.1	1971	1930444	1930797	-1	D										Protein of unknown function (DUF952) [PF06108.15]					0
CP101161.1_CP101161.1_1972	CP101161.1	CP101161.1	1972	1930845	1932119	-1	C	K09121	pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]								Nickel insertion protein [PF01969.20]					0
CP101161.1_CP101161.1_1973	CP101161.1	CP101161.1	1973	1932341	1934566	1	C	K13525	transitional endoplasmic reticulum ATPase	MER0413614	M41	MER0413614 - family M41 non-peptidase homologues (Solanum lycopersicum) [M41.UNW]#M41#{peptidase unit: 392-556}~source Solyc08g082530~	False	0.521	114.0	3.668e-24	ATPase family associated with various cellular activities (AAA) [PF00004.32]; Cell division protein 48 (CDC48), N-terminal domain [PF02359.21]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]; Bacterial dnaA  protein [PF00308.21]; AAA+ lid domain [PF17862.4]; Cell division protein 48 (CDC48), domain 2 [PF02933.20]; AAA domain (Cdc48 subfamily) [PF07724.17]; AAA domain (dynein-related subfamily) [PF07728.17]; ATPase family associated with various cellular activities (AAA) [PF07726.14]; IstB-like ATP binding protein [PF01695.20]					0
CP101161.1_CP101161.1_1974	CP101161.1	CP101161.1	1974	1934961	1935638	-1	E															0
CP101161.1_CP101161.1_1975	CP101161.1	CP101161.1	1975	1936563	1936922	-1	E															0
CP101161.1_CP101161.1_1976	CP101161.1	CP101161.1	1976	1937122	1937562	1	D										Acetyltransferase (GNAT) domain [PF13508.10]					0
CP101161.1_CP101161.1_1977	CP101161.1	CP101161.1	1977	1937746	1939287	-1	D										HPP family [PF04982.16]					0
CP101161.1_CP101161.1_1978	CP101161.1	CP101161.1	1978	1939330	1940085	-1	C	K00757	uridine phosphorylase [EC:2.4.2.3]								Phosphorylase superfamily [PF01048.23]					0
CP101161.1_CP101161.1_1979	CP101161.1	CP101161.1	1979	1940115	1940366	-1	E															0
CP101161.1_CP101161.1_1980	CP101161.1	CP101161.1	1980	1940409	1940915	-1	E															0
CP101161.1_CP101161.1_1981	CP101161.1	CP101161.1	1981	1940940	1941806	-1	D										pfkB family carbohydrate kinase [PF00294.27]					0
CP101161.1_CP101161.1_1982	CP101161.1	CP101161.1	1982	1941857	1942675	-1	D										Membrane protein of unknown function DUF63 [PF01889.20]					0
CP101161.1_CP101161.1_1983	CP101161.1	CP101161.1	1983	1942760	1943710	-1	C	K18237	ribose 1,5-bisphosphate isomerase [EC:5.3.1.29]								Initiation factor 2 subunit family [PF01008.20]					0
CP101161.1_CP101161.1_1984	CP101161.1	CP101161.1	1984	1943783	1944346	-1	D										Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF08241.15]; ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF13847.9]; Methionine biosynthesis protein MetW [PF07021.15]; Mycolic acid cyclopropane synthetase [PF02353.23]; Methyltransferase domain [PF08242.15]					0
CP101161.1_CP101161.1_1985	CP101161.1	CP101161.1	1985	1944514	1945155	1	C	K01619	deoxyribose-phosphate aldolase [EC:4.1.2.4]								DeoC/LacD family aldolase [PF01791.12]					0
CP101161.1_CP101161.1_1986	CP101161.1	CP101161.1	1986	1945198	1946481	1	C	K15865	threonylcarbamoyladenosine tRNA methylthiotransferase CDKAL1 [EC:2.8.4.5]								Uncharacterized protein family UPF0004 [PF00919.23]; Radical SAM superfamily [PF04055.24]; TRAM domain [PF01938.23]					0
CP101161.1_CP101161.1_1987	CP101161.1	CP101161.1	1987	1946486	1946953	-1	D										SnoaL-like polyketide cyclase [PF07366.15]; SnoaL-like domain [PF12680.10]					0
CP101161.1_CP101161.1_1988	CP101161.1	CP101161.1	1988	1947110	1948036	1	D										Acetamidase/Formamidase family [PF03069.18]					0
CP101161.1_CP101161.1_1989	CP101161.1	CP101161.1	1989	1948033	1948950	-1	D										Cation efflux family [PF01545.24]; Dimerisation domain of Zinc Transporter [PF16916.8]					0
CP101161.1_CP101161.1_1990	CP101161.1	CP101161.1	1990	1948988	1949833	-1	E															0
CP101161.1_CP101161.1_1991	CP101161.1	CP101161.1	1991	1949943	1950479	-1	C	K19710	ATP adenylyltransferase [EC:2.7.7.53]								HIT domain [PF01230.26]					0
CP101161.1_CP101161.1_1992	CP101161.1	CP101161.1	1992	1950755	1950958	1	E															0
CP101161.1_CP101161.1_1993	CP101161.1	CP101161.1	1993	1950992	1951885	-1	C	K01265	methionyl aminopeptidase [EC:3.4.11.18]	MER0128385	M24A	MER0128385 - methionyl aminopeptidase (archaean-type) ({Pyrococcus furiosus}) (Halomicrobium mukohataei) [M24.035]#M24A#{peptidase unit: 1-296}~source GEBA2500519152~	True	0.782	473.0	1.152e-149	Metallopeptidase family M24 [PF00557.27]					0
CP101161.1_CP101161.1_1994	CP101161.1	CP101161.1	1994	1951931	1952788	-1	D			MER0058913	T02	MER0058913 - family T2 unassigned peptidases (Natronomonas pharaonis) [T02.UPW]#T02#{peptidase unit: 4-286}~source CAI49307~	False	0.624	347.0	1.509e-106	Asparaginase [PF01112.21]					0
CP101161.1_CP101161.1_1995	CP101161.1	CP101161.1	1995	1952925	1954187	1	C	K00031	isocitrate dehydrogenase [EC:1.1.1.42]								Isocitrate/isopropylmalate dehydrogenase [PF00180.23]					0
CP101161.1_CP101161.1_1996	CP101161.1	CP101161.1	1996	1954223	1955128	-1	E															0
CP101161.1_CP101161.1_1997	CP101161.1	CP101161.1	1997	1955125	1955955	-1	E															0
CP101161.1_CP101161.1_1998	CP101161.1	CP101161.1	1998	1955952	1956305	-1	D										Mannose-6-phosphate isomerase [PF01050.21]; Cupin [PF00190.25]; AraC-like ligand binding domain [PF02311.22]; Auxin binding protein [PF02041.19]					0
CP101161.1_CP101161.1_1999	CP101161.1	CP101161.1	1999	1956387	1956893	1	D										Domain of unknown function (DUF5817) [PF19134.3]					0
CP101161.1_CP101161.1_2000	CP101161.1	CP101161.1	2000	1956890	1957306	1	E															0
CP101161.1_CP101161.1_2001	CP101161.1	CP101161.1	2001	1957321	1958532	-1	C	K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]								Hydroxymethylglutaryl-coenzyme A reductase [PF00368.21]					0
CP101161.1_CP101161.1_2002	CP101161.1	CP101161.1	2002	1958620	1960146	1	D			MER0220036	M38	MER0220036 - family M38 non-peptidase homologues (Halalkalicoccus jeotgali) [M38.UNW]#M38#{peptidase unit: 138-475}~source YP_003736504~	True	0.637	430.0	6.147000000000002e-131	Amidohydrolase family [PF07969.14]; Amidohydrolase family [PF01979.23]					0
CP101161.1_CP101161.1_2003	CP101161.1	CP101161.1	2003	1960312	1961445	1	C	K03517	quinolinate synthase [EC:2.5.1.72]								Quinolinate synthetase A protein [PF02445.19]					0
CP101161.1_CP101161.1_2004	CP101161.1	CP101161.1	2004	1961442	1962962	1	C	K00278	L-aspartate oxidase [EC:1.4.3.16]								FAD binding domain [PF00890.27]; Fumarate reductase flavoprotein C-term [PF02910.23]; FAD dependent oxidoreductase [PF01266.27]					0
CP101161.1_CP101161.1_2005	CP101161.1	CP101161.1	2005	1962952	1963782	1	C	K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]								Quinolinate phosphoribosyl transferase, C-terminal domain [PF01729.22]; Quinolinate phosphoribosyl transferase, N-terminal domain [PF02749.19]					0
CP101161.1_CP101161.1_2006	CP101161.1	CP101161.1	2006	1963754	1963981	-1	E															0
CP101161.1_CP101161.1_2007	CP101161.1	CP101161.1	2007	1964042	1965568	-1	C	K15633	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]								BPG-independent PGAM N-terminus (iPGM_N) [PF06415.16]; Metalloenzyme superfamily [PF01676.21]; Type I phosphodiesterase / nucleotide pyrophosphatase [PF01663.25]; Sulfatase [PF00884.26]					0
CP101161.1_CP101161.1_2008	CP101161.1	CP101161.1	2008	1965650	1966411	1	D			MER0070189	S09C	MER0070189 - BSU23640 g.p. ({Bacillus subtilis}) (Xanthomonas campestris) [S09.B04]#S09C#{peptidase unit: 32-294}~source YP_362117~	False	0.241	81.0	1.622e-15	Serine aminopeptidase, S33 [PF12146.11]; alpha/beta hydrolase fold [PF00561.23]; Alpha/beta hydrolase family [PF12697.10]; Dienelactone hydrolase family [PF01738.21]; Alpha/beta hydrolase domain [PF20408.1]; Acetyl xylan esterase (AXE1) [PF05448.15]					0
CP101161.1_CP101161.1_2009	CP101161.1	CP101161.1	2009	1966571	1967827	1	D										NurA domain [PF09376.13]					0
CP101161.1_CP101161.1_2010	CP101161.1	CP101161.1	2010	1967832	1968761	-1	E															0
CP101161.1_CP101161.1_2011	CP101161.1	CP101161.1	2011	1968823	1969173	-1	E															0
CP101161.1_CP101161.1_2012	CP101161.1	CP101161.1	2012	1969276	1971075	1	D										Helicase HerA-like C-terminal [PF05872.15]; Helicase HerA, central domain [PF01935.20]; TraG P-loop domain [PF19044.3]; AAA-like domain [PF12846.10]					0
CP101161.1_CP101161.1_2013	CP101161.1	CP101161.1	2013	1971116	1971541	1	C	K07090	uncharacterized protein								Universal stress protein family [PF00582.29]					0
CP101161.1_CP101161.1_2014	CP101161.1	CP101161.1	2014	1971582	1971929	1	E															0
CP101161.1_CP101161.1_2015	CP101161.1	CP101161.1	2015	1971926	1973068	-1	D										CBS domain [PF00571.31]					0
CP101161.1_CP101161.1_2016	CP101161.1	CP101161.1	2016	1973576	1974916	1	E															0
CP101161.1_CP101161.1_2017	CP101161.1	CP101161.1	2017	1975152	1976717	1	E															0
